class|text
classD|"ESMA proposes to retain the proposed definition of the relevant characteristics of orders held in an order management facility and not to restrict it to reserve and stop orders. With regard to the minimum size, ESMA maintains the proposal set in the CP that for all orders held in an order management facility, including stop orders, the minimum size should be, at the point of entry of the order, the minimum tradable quantity established by the trading venue. For reserve orders, the minimum size should be, at the point of entry and following any amendment, not smaller than EUR 10,000."
classA|"Under MiFID I, orders that are large in scale (LIS) can benefit from a waiver from pre-trade transparency. The waiver is designed to protect large orders from adverse market impact and to avoid abrupt price movements that can cause market distortions. MiFIR recognises that mandatory public display of large orders can increase execution costs to the detriment of market liquidity and end-investors."
classE|"MiFIR empowers ESMA to draft RTS to specify the size of orders that are LIS compared with normal market size for each class of shares, depositary receipts, ETFs, certificates and other similar financial instruments."
classD|"In the CP ESMA proposed to adopt for all equity and equity-like financial instruments an approach using the average daily turnover (ADT) as a proxy for liquidity and market impact and allowing, for each financial instrument, the calibration of orders which may be considered LIS compared to the normal market size on this basis."
classD|"The second group of responses reiterated the arguments put forward in the responses to the DP against the use of the ADT which is viewed as a too simplistic measure of liquidity and market impact and proposed using different measures to substitute or to complement the ADT, such as the average value of transactions (AVT) or the depth of the order book. Some respondents also noted that the proposed yearly calculation fails to take into consideration the erratic variation of liquidity."
classD|"Similarly to the responses received to the DP, respondents expressed concerns about the proposed thresholds for each class of ADT and in particular for less liquid shares (which often are shares issued by small and medium enterprises). In their views, the proposed thresholds would fail to capture a sufficient proportion of the orders as LIS and would entail very high trading costs in particular for the smallest ADT class (according to some responses, transaction costs might reach up to 200 bps for the class below EUR 100,000). ESMA appreciates those concerns and agrees that it is important that LIS thresholds are appropriate and in particular for less liquid shares such as SME shares. ESMA notes that, in the CP’s proposal, the greater level of granularity and the new ADT categories (and related thresholds) which have been added to the current MiFID I regime partially addressed those concerns. It is worth noting in this respect that under MiFID I the threshold for the shares with an ADT lower than EUR 100,000 (and up to EUR 500,000 EUR) is EUR 50,000 whereas under the proposed regime it was set at EUR 30,000."
classD|"However, ESMA appreciates that there is some merit in introducing further granularity into the system in order to better take into consideration the less liquid shares such as SME shares. Therefore, in its final table, ESMA has added a new ADT category for shares with an ADT of less than EUR 50,000 with a corresponding threshold of EUR 15,000. The thresholds for deferred publication have also been modified on that basis."
classF|"Finally, some respondents asked for further clarification with respect to the transactions that should be taken into consideration for the ADT calculations, supporting a broad approach in this respect, i.e. the inclusion of lit, dark and OTC transactions. ESMA confirms that the ADT calculations should include all transactions executed in the relevant financial instrument, regardless whether they are traded on- or off-venue."
classD|"ESMA proposes to establish a single EUR 1,000,000 LIS threshold for all ETFs regardless of their underlying or their liquidity."
classF|"Certificates are defined by MiFIR as transferable securities which are negotiable on the capital market and which, in case of repayment of investment by the issuers, are ranked above shares but below unsecured bond instruments and other similar financial instruments. ESMA identified two types of financial instruments traded in the Union that would be considered certificates under the above definition: Spanish Participationes Preferentes and German Genusscheine."
classF|ESMA remains of the view that certificates have different payoffs from shares and are hence separate financial instruments which ought to be subject to a different transparency regime. ESMA has decided to maintain the table presented in the CP and which is reproduced below.
classG|"In the DP, ESMA evaluated the pros and cons of requiring stubs to meet the relevant LIS threshold following partial execution to continue to be eligible to the LIS waiver. On the one hand, ESMA considered that allowing stubs to remain protected under the LIS waiver would result in a more consistent treatment of the whole order, greater protection for large orders and greater incentive to execute transaction on order books and ultimately in better quality of execution. On the other hand, requiring stubs to be made transparent when falling below the relevant threshold was considered as conducive to greater transparency and consistent with an approach where similar sized orders are, ceteris paribus, subject to equivalent transparency requirements. As a compromise, ESMA’s proposal in the DP was to require stubs to be made transparent only when, following partial execution, the size of the stub would fall below 75% of the relevant LIS threshold."
classF|"ESMA therefore proposed in the CP to clarify that LIS orders may remain protected under the LIS waiver regime even when, following partial execution, they fall below the relevant LIS threshold provided that the price or other relevant conditions for execution are not amended following execution."
